Words,Meaning
biyadhac¹,"biyadhac¹ m.l 1. ld biyadhaceen. (-cyo, m.dh) Qar sare oo biyaha qulqulaya ay ka daataan. 2. (-cyo, m.dh) Meel godan oo biyo qabatin leh oo qar, buur iwm ku hoos taalla. 3. (-cyo, m.dh) Go'aan; duluc; murti. 4. ld biyadhicid."
biyadhac²,"biyadhac² f.mg1 (-cay, -cday; -dhici) Xoolo meel biyo leh ka harqasho. "
biyadhaceen,biyadhaceen m.l Qar sare oo biyaha ka degtaan. ld biyadhac¹ (1).
biyadhicid,biyadhicid m.f.dh eeg biyadhac². ld biyadhac¹ (4).
biyadhig¹,biyadhig¹ m.l Roob da'ay biyaha dhulka korkiisa uu kaga tago; xareed dhulka waran. 
biyadhig²,"biyadhig² f.mg1 (-gay, -gtay) Roob da'ay biyo dhul ku dhaafid; roob xareed dhul warid. "
biyadhigid,biyadhigid m.f.dh eeg biyadhig². 
biyafariisad,biyafariisad m.l ld biyafariisin.
biyafariisin,"biyafariisin m.l (-nno, m.dh) Dhul godan oo biyo qabatin leh. ld biyafariisad."
biyaggaleen,"biyaggaleen m.l (-nno, m.dh) Meel godan oo biyo qabatin leh. "
biyajab,"biyajab m.l Meesha biyaha webi, durdur, daad iwm ay ka kalago'aan. "
biyajiid,"biyajiid m.l (-dyo, m.dh) 1. Raadka daad ku reebo meel uu maray. 2. B. ah: rati muddo dheer la rarayey oo aan hilibkiisa la cuni karin adayg awgiis. "
biyakuhar,"biyakuhar m.l (-rro, m.dh) Balli. "
biyamar,"biyamar m.l (-rro, m.dh) Raadka uu roobka ku reebo meesha uu ku da'ay. "
biyamarin,biyamarin m.dh Si xoog leh oo roob meel ugu da'o. 
biyamaris¹,biyamaris¹ m.l Roob xoog leh oo biyihiisu daad soo rogaan. 
biyamaris²,"biyamaris² f.mg1 (-say, -stay) Biyo roob daad soo rogid. "
biyammacee,"biyammacee f.g2 (-ceeyay, -ceysay) Dhar saabuun lagu dhaqay biyo saafi ah ku raacin. "
biyammaceyn,biyammaceyn m.f.dh eeg biyammaacee. 
biyammaddaadshe,"biyammaddaadshe m.l.kh (-shayaal, m.l/dh) B. ah: rati hayin ah oo carruurta iyo maqasha la saaro marka la guuro. "
biyammareen,"biyammareen m.l (-nno, m.dh) Jeex; tog; kanaal. "
biyantooni,"biyantooni m.l (-iyaal, m.l/dh/-iyo, m.dh) Nin shaqo-hoosaad ka qabta xafiisyada oo munshaar ku qaata. ld biyatooni."
biyantooniyad,biyantooniyad m.dh ld biyatooniyad.
biyaqabad,"biyaqabad m.l (-dyo, m.dh) ld biyaqabatin."
biyaqabatin,"biyaqabatin m.l (-nno, m.dh) Meel godan oo biyuhu fariistaan. ld biyaqabad."
biyarraaci,"biyarraaci f.g2 (-iyay, -isay) Wax hore loo mayray biyo saafi ah oo wasakhda ka dhammeysa ku dhaqid. "
biyarraacin,biyarraacin m.f.dh eeg biyarraaci. 
biyashub,"biyashub m.l (-byo, m.dh) Meel dabiici ama dad sameeyey ah oo ay biyuhu si habeysan uga daataan. "
biyashubad,biyashubad m.l ld biyashubasho.
biyashuban,"biyashuban f.mg1 (-bmay, -bantay; -bmi)1. Meel ku wada shumbid. 2. Hadal ama arrin dulucdiisa meel isugu aruurmid. "
biyashubasho,biyashubasho m.f.dh eeg biyashubo. ld biyashubad.
biyashubmid,biyashubmid m.f.dh eeg biyashuban. 
biyashubo,"biyashubo f.mg3 (-btay, -batay) Ku b.: hadal arrin iwm dulucdiisa meel isugu uruurid."
biyatooni,"biyatooni m.l (-iyaal, m.l/dh/-iyo, m.dh) ld biyantooni."
biyatooniyad,"biyatooniyad m.dh (-do, m.l) Haweeney ku munshaar qaadata shaqo-hoosaadka xafiisyada. ld biyantooniyad."
biyaxir,"biyaxir m.l (-rro, m.dh) Dhismo loogu tala galay in biyaha webiyada socodkooda lagu hakiyo si loo keydiyo, heerkoodana kor loogu qaado. ld biyaxireen."
biyaxireen,"biyaxireen m.l (-nno, m.dh) ld biyaxir."
biyayari,biyayari m.dh ld biyayaro.
biyayaro,"biyayaro m.dh Meel aan biyo badan lahayn. ld biyayari, biyayarood."
biyayarood,biyayarood m.l ld biyayaro.
biyee,"biyee f.g2 (-yeeyay, -yeysay) 1. Wax biyo ku darid. 2. Wax biyo ka badan ku darid. "
biyeyn,biyeyn m.f.dh eeg biyee. 
biyo-galo,biyo-galo m.l (daaw.) Halaamacoodka maqaarka oo uu keeno fiirus waxaana lagu yaqaan finan yaryar oo biyo ku jiraan. 
biyo¹,"biyo¹ m.l.w 1. Hoore aan lahayn midab, dhadhan iyo ur oo ka sameysan haydaroojiin iyo oksijiin oo lama huraan u ah nolosha. 2. Hoore ka yimaadda lab iyo dhigdhig nafley marka ay isu galmoodaan ee uu ubadku ka abuurmo. "
biyo²,"biyo² m.l.w (kiim.) (H2O) Hoor midablaawe ah oo ku barafooba 0°C kuna uu biyooba 100°C marka cadaadisku yahay ka atmosfeerka. uumiga biyuhu wuxuu ka koobanyahay molikuyullo HO ah madi (kelikeli) ah. Biyuhu hoor ahaan, waa milaha ciriflaha ah ee ugu awood badan. Tan waxa ugu wacan sarraynta madoorsoomaheeda labdanab. "
biyobax,"biyobax m.l (-xyo, m.dh) (c.nafl.) Shahwo ka soo bixidda guska oo kacsan. "
biyoculus¹,biyoculus¹ m.dh (-syo. m.dh) Ceelasha la shubo meesha isha xigta. 
biyoculus²,"biyoculus² m.dh (kiim.) Diyuteeriyam ogsaydh: biyaha atamyadu haydarojiin ee ku jiray, 1H, ay beddeleen isku godka ka culus ee diyuuteeriyam, 2H, summaddiisuna tahay D. Waa hoor midab laawe ah. "
biyodhac,"biyodhac m.l (-cyo, m.dh) (jool.) Dhicidbiyood degdeg ah, badanaa waxa sameeya sal dhadhaab adag ee marin webi, oo ufug ah ama tiiro hoosaad deggan, oo dul yaal dhadhaab jilicsan. "
biyodhac-yar,biyodhac-yar m.l (jool.) Meel ama meelo isdaba taxan oo ah biyo shub ama biyo shubyo aan sidaa u waaweynayn. 
biyo-dhuleed,"biyo-dhuleed m.l (-dyo, m.dh) (jool.) Biyaha ku jira shirqadaha iyo jeexjeexyada yaryar ee dabaqadda carrada, kuwaas oo gala marka biyaha roobka oo ceelasha iyo ilaha sameeya ay hoos ugu dusayaan carrada. "
biyo-fadhis,"biyo-fadhis m.l (-syo, m.dh) (juqr.) Jiid dhul jilcan oo qoyan, badanaa waa godantahay, mararka qaarkoodna dhammaanteed ama qayb ka mid ah ayaa biyaha ka hooseeysa. "
biyo-fududayn,"biyo-fududayn m.dh (kiim.) Ka saaridda ayoonnada kaalsiyam, magniisiyam iyo feeram; iskudhis ahaan looga saaro biyaha ay ku milanyihiin; sidaa darteedna lagu yareeyo adkaanta biyaha. "
biyogal,"biyogal m.l (-llo, m.dh) (daaw.) Meel haragga ka mid ah oo soo foocsan inta badan biyo ku jiran, mararka qaarkoodna dhiig ku jiro ama malax. "
biyo-goboleed,"biyo-goboleed m.l (-dyo, m.dh) (siyaa.) Jiid badeed ku qabsan xeebta oo loo aqoonsanyahay dhul ay leedahay ummadda xeebta deggani; maritaanka jiidda ee si nabad ah caadi ayaa loogu oggolyahay gaadiidbadeedka ummadaha oo dhan. "
biyoobid,biyoobid m.f.dh eeg biyow². ld biyow¹.
biyood,"biyood m.l (-dyo, m.dh) (c.nafl.) Degaan b. ama sinjiyo noole ah oo ku nool biyaha dhexdooda, dhir iyo xayawaan mid kastaba ha ahaadee. "
biyoole,"biyoole m.l (-layaal, m.l/dh) 1. Qof biyo dhaamiya oo dadka ka iibsha. 2. Baabuur boyaad saarantahay oo biyo lagu qaado. "
biyo-saar,"biyo-saar m.l (-ryo, m.dh) (baay.) Habka dhirtu biyaha ay xididdadu u soo nuugaan dib ugu celiso gibilka iyaga oo maraya daloollada caleemaha iyagoo uumibiyood ah. "
biyow¹,biyow¹ m.l ld biyoobid.
biyow²,"biyow² f.mg1 (-oobay, -owday; -oobi) Wax biyuhu ka bateen noqosho. "
biyuutanool,"biyuutanool m.l (-llo, m.dh) (kiim.) Biyuutayl alkohool: C H OH. Hoor yeelan kara afar qaab oo isku-naanaysood. Biyuunta-1-ool,CH CH CH CH -OH, bar-karkeedu waa 117.5°C, waxana loo isticmaalaa mile ahaan. "
bocool,"bocool m.dh (-lo, m.l) 1. Qolof adag oo nafley yaryar oo biyo ku nool ah galaan oo laga helo xeebaha iyo meelaha ay biyuhu ka guraan. 2. Meel calaacasha ama cagaha ka mid ah oo uu dhacaan khafiif ah galay marka cirid lagu socdo ama hawl adag gacnaha lagu qabto. "
bocoolaggale,"bocoolaggale m.l (-layaal, m.l/dh) Nafley yar, biyo ku nool oo bocoosha gasha. "
bocoolaggurad,"bocoolaggurad m.l Muran, akeekan. ld bocoolaggurasho."
bocoolaggurasho,bocoolaggurasho m.f.dh eeg bocoolaguro. ld bocoolaggurad.
bocoolagguro,"bocoolagguro f.mg3 (-rtay, -ratay) Si diidmo iyo jikraar leh cid ugu jawaabid. "
bocor¹,bocor¹ m.l 1. Burcadka caanaha geela ka soo baxa. 2. Meesha kuusan oo cunaha ragga ku taal. 3. Miro ay qaraha isku bahyihiin oo la cuno marka la kariyo. 4. Geedka digirta marka uusan weli aad u soo bixin ee madaxiisu fooraro. 
bocor²,"bocor² m.dh (-ro, m.l) 1.Miro aroorro leh oo sida qaraha u weyn oo la cuno. 2. B. ah: gabadh aad u qurxoon. "
bog¹,"bog¹ m.l (-gag, m.l) 1. Caloosha meesheeda sare. 2. Baalka xaashida labadeeda dhinac midkood. "
bog²,bog² m.l (c.nafl.) Muruq ballaaran oo xalleef ah oo kala xira uurka iyo saabka nafleyda. Wuxuu kaalin weyn ka qaataa neefsashada: qaadashada tuurista hawada. 
bog³,"bog³ f.g/mg1 (-gay, -gtay) 1.(f.g) Wax qabya ahaa dhammaysitirid. 2. (f.g) Hawl billaabid oo dhammaystirid. 3.(f.mg) U b.: wax jeclaan: hadalkiisaan u boggay. "
bogaad,bogaad m.l U bogid; qiimayn. 
bogaadi,"bogaadi f.g2 (-iyay, -isay) U b.: cid hambalyo u jeedin. "
bogaadin,bogaadin m.f.dh eeg bogaadi. ld bogaadis.
bogaadis,bogaadis m.l ld bogaadin.
bogaadsi,bogaadsi m.l Hambalyo. 
bogasho,bogasho m.f.dh eeg bogo. 
bogcad,"bogcad m.dh.u (-dyo, m.dh) 1.Dhasha fardaha iyo idaha inta aanay weli ababin. 2. Dhul yar oo bannaan. "
bogdoox¹,bogdoox¹ m.l 1. Wadiiqo toos ah oo ka leexaato waddo weyn. 2. Weeraridda cadow dhinac laga weeraro. 3. Qalliin lagu sameeyo haweenka dhali waayey iyadoo dhinac laga soo saarayo ilmaha. 4. ld bogdooxid. 
bogdoox²,"bogdoox² f.g1 (-xay, -xday) 1. Cadow iwm dhinac ka wareemid. 2. Haweeney si caadi ah u dhaliweydey si ilmaha looga dhaliyo caloosha dhinac ka qalid. "
bogdooxid,bogdooxid m.f.dh eeg bogdoox². ld bogdoox¹ (4).
boggan,"boggan f.mg4 (-naa, -nayd) Wax la bogay ahaansho. "
bogganaan,bogganaan m.f.dh ld bognaansho. 
bogganaansho,bogganaansho m.l/dh ld bogganaan. 
bogid,bogid m.f.dh eeg bog². 
bogla',bogla' m.dh Nooc jaadadka malayga ka mid ah. 
bogo,"bogo f.g/mg3 (-gtay, -gatay) 1.(f.g) Cunto, cabid iwm ka dhergid. 2. Ka b.: arrin, hawl iwm ka baaraandegid; ka salgaarid. "
bogox,bogox m.l ld bugux.
bogsad,bogsad m.l ld bogsasho.
bogsasho,"bogsasho m.f.dh eeg bogso. ld bogsad, bogsi, bogsood."
bogsi,bogsi m.l ld bogsasho. 
bogsii,"bogsii f.g2 (-iiyay, -iisay) Wax buka caafimaadin. "
bogsiin,bogsiin m.f.dh eeg boogsii. ld bogsiis.
bogsiis,bogsiis m.l ld bogsiin. 
bogso,"bogso f.mg3 (-saday, -satay) Wax caafimaaday noqosho. ld bogsoo."
bogsoo,"bogsoo f.mg3 (-ooday, -ootay) ld bogso. "
bogsood,bogsood m.l ld bogsasho. 
bohol,"bohol m.dh (-lo, m.l) Jeex hoos u dheer biyo iwm sameeyeen oo dhulka ku yaal. "
boholaddumi,"boholaddumi f.mg2 (-iyay, -isay) U b.: cabsi gelin iyo degniin cid loo jeediyo si ujeeddadeeda looga baajiyo. ld boholatus²."
boholaddumin,boholaddumin m.f.dh eeg boholaddumi. ld boholaddumis.
boholaddumis,boholaddumis m.l ld boholaddumin.
boholatus¹,boholatus¹ m.l ld boholatusid.
boholatus²,"boholatus² f.mg1 (-say, -stay) U b.: cid si ujeedadeeda looga baajiyo cabsi gelin. "
boholatusid,boholatusid m.f.dh eeg boholatus². ld boholatus¹.
boholyoobid,boholyoobid m.f.dh eeg boholyow². 
boholyow¹,boholyow¹ m.l 1. Dareen rabitaan oo ku dhasha qof marka wax uu jeclaa araggooda ka raago; hilow. 2. ld boholyoobid.
boholyow²,"boholyow² f.mg1 (-oobay, -owday; -oobi) U b.: wax araggooda laga raagay in la arko aad u jeclaysasho. "
bohon,"bohon m.l (-nno, m.dh) Orgi wan iwm oo aan wax boodi karin. "
bohonnimo,bohonnimo m.dh Bohon ahaansho. 
boji,"boji f.mg2 (-iyay, -isay) Xaalad shaqo iyo dhib la'aan ku sugnaan (nafley); nasasho. ld bąji, beji."
bojiino,bojiino m.dh Xaalad shaqo iyo dhib la'aaneed oo nafley ku jirto; nasasho muddo laga nasto hawl. ld bojin. 
bojin,"bojin m.f.dh eeg boji. ld bąjiino, bąjin, bejiino, bejin, bejis, bojiino."
bokooro,bokooro m.dh ld bakooro.
boliis,"boliis m.l Ciidan nabadgelyada gudaha ee dal qaabbilsan. ld bileys, biliis, booliis, buliis."
bolol¹,bolol¹ m.l 1. B. ah: qori iwm marka ay duug ama bahal awgiis xorshosh noqdaan. 2. B. ah: miro daawo iwm oo faaday ama xorshashay. 3. ld bololid.
bolol²,"bolol² f.mg1 (-olay, -oshay) 1. Qori iwm duugnimo ama bahal galay awgeed xorshashid. 2. Miro daawo iwm faadid ama xorshoshid. "
bololid,bololid m.f.dh eeg bolol². ld bolol¹ (3).
bolshofiik,bolshofiik m.l (siyaa.) Hab siyaasadeed iyo fikrad uu Lenin iyo kuwii raacsanaa ay keeneen dalka Ruushka kacaankii Ruushka kaddib 1917. 
bombo,bombo m.dh ld bambaano.
bongaree,"bongaree f.g2 (-reeyay, -reysay) ld bamgaree."
bongareyn,bongareyn m.dh ld bamgareyn. 
boob¹,boob¹ m.l 1. Si sedbursi xoog iyo dhaqso leh oo hanti cid ka dhexeyso loo qaato. 2. Si xoog iyo sharcidarro ah oo hanti iwm loo qaato. 3. Baadariga ugu sarreeya Fatikaanka. 4. ld boobid.
boob²,"boob² f.g1 (-bay, -btay) 1. Si sedbursi xoog iyo dhaqso leh hanti cid ka dhexeyso u qaadasho. 2. Si xoog iyo sharcidarro ah hanti iwm cid uga qaadasho. 3. Dedejin (cunid, socod, iwm). "
boobas,boobas m.l Habaas; boor. 
boobe,"boobe m.l (-bayaal, m.l/dh) 1. Nooc banaatiiqda ka mid ah oo si daranddoori ah u dhaca. 2. Cayayaan yaryar oo gala iniinaha qaraha iyo sisinta oo bololiya. "
boobid,boobid m.f.dh eeg boob². ld boob¹ (4).
boobsii,"boobsii f.g2 (-iiyay, -iisay) Hawl si degdeg leh u qabasho. "
boobsiin,boobsiin m.f.dh eeg boobsii. ld boobsiis.
boobsiis,boobsiis m.l ld boobsiin.
booc¹,"booc¹ m.l (-cyo, m.dh) 1. Hunguri. 2. Cune. 3. In yar oo tubaako shiidan ah. "
booc²,"booc² m.dh Geed caano leh caleemo balballaaran, laamo jiljilicsan iyo miro kuus kuusan oo buufsan leh. "
boocaar,boocaar m.dh Nooc ka mid ah kalluun. 
bǫod,"bǫod f.mg1 (-day, -dday) 1. Meel lagu taagnaa si dhaqso iyo xoog leh kor uga kicid iyaadoo lugaha hal mar la wada qaadayo. 2. Sac kudid (dibi). 3. Ka b.: wax qotoma dul marid iyadoo dhankeeda kale lagu dhacayo. 4. Kala b.: arrin iwm ku heshin waayid. "
bood¹,bood¹ m.l Midab caddaan caawl ku dheehan ah oo ay fardaha yeeshaan. 
bood²,"bood² m.dh Dhoobo cad, laga helo dhulka lakabyadiisa hoose ee biyaha u dhaw oo timaha iyo dharka lagu dhaqdo. "
boodaami,"boodaami f.g2 (-iyay, -isay) Boodaan ka dhawaajin (geel). "
boodaamin,boodaamin m.f.dh eeg boodaami. 
boodaan,"boodaan m.l/dh (-aamo, m.l) Koor weyn oo geela loo xiro. ld buudaan."
boodal,"boodal m.l (-llo, m.dh) Nin geesi ah. "
boodayn,boodayn m.f.dh eeg boodee. ld boorayn (2).
booddo¹,"booddo¹ m.dh 1. ld bootin. Si degdeg iyo xoog leh, inta cagaha meel loogu dhufto, oo laba melood laysaga hawakaco. 2. Cayayaan yar oo boodbooda oo dadka iyo nafleyda kale dhiigooda ku nool; qandhiso. "
booddo²,"booddo² m.dh (-ooyin, m.l) (c.nafl.) Xasharaad dhiigga dhuuqa oo aan baalal lahayn, lugose leh ay ku booddo. B.da waaweyn si aan joogto ahayn ayey waxay ku dul noolaadaan shimbiraha iyo naasleyda. Qaarka dadka cunana waxay qaadi karaan cudurro kala duwan. "
boodee,"boodee f.g2 (-deeyay, -daysay) 1. Bood dhar ku mayrid. 2. Bood timaha ku caddayn. ld booree (2)."
boodh,"boodh m.l (-dho, m.dh) (baay.) Unug taran oo keligii kobci kara iyada oo aanu la kulmin unug kale oo taran b.ka waxa soo saara dhirta, fangiga, bakteeriyada iyo qaar ka mid ah borotosoowaha. B.ku wuxuu noqon karaa noole u eg waalidkii ama wuxuu mari karaa heer kale oo meerta nololeed. "
boodhar,"boodhar m.l Budo cad oo siigo ah udgoon oo waqtiga kuleylaha la marsado si ay dhidika u nuugto. ld boolbare, boolbire, bootar."
boodid,boodid m.f.dh eeg bǫod. 
boodsii,"boodsii f.g2 (-iiyay, -iisay) ld booti."
boodsiin,boodsiin m.dh ld bootin.
boodsiis,boodsiis m.l ld bootin.
boodsol,"boodsol m.l (juqr.) Nooc carro oo astaan u ah gobollada leh cimilada cirif-hoosaad, oo ah ka ay ka baxaan inta badan dhirta dabiiciga ah ee caleen irbadleyda. "
boog,"boog m.dh (-go, m.dh) Nabar caalir leh jirka muddo ku yaallay oo aan weli biskoon. "
boogadhay,boogadhay m.l ld boogadhaye.
boogadhaye,"boogadhaye m.l (-yayaal, m.l/dh) Qof boogaha iyo nabarrada fudud daaweeya. ld boogadhay."
boogayn,boogayn m.f.dh eeg boogee. 
boogaysan,"boogaysan f.mg4 (-snaa, -snayd) Wax boog leh ahaansho. "
boogaysnaan,boogaysnaan m.f.dh eeg boogaysan. ld boogaysnaansho.
boogaysnaansho,boogaysnaansho m.l/dh ld boogaysnaan. 
boogcalooleed¹,"boogcalooleed¹ m.dh (-dyo, m.dh) Nabar caloosha ka soo baxa. ld boogcaloolo."
boog-calooleed²,"boog-calooleed² m.dh (-dyo, m.l) (daaw.) Boog ku sameysmata caloosha waxaana keena aasidhka oo gubeysa caloosha. Aasidhka caloosha ma bato. Astaamaha: matag iyo xanuun caloosha cunnada kaddib, waxaa iman kara dhiigbax iyo waxa kaloo dhici kara kala xirin caloosha iyo xidmaha markii nabarku buskoodo. "
boogcaloolo,boogcaloolo m.dh ld boogcalooleed¹.
boogee,"boogee f.g2 (-geeyay, -gaysay) Boog u yeelid (jir). "
boogoobid,boogoobid m.f.dh eeg boogow². ld boogow¹. 
boogow¹,boogow¹ m.l ld boogoobid. 
boogow²,"boogow² f.mg1 (-oobay, -owday; -oobi) Boog yeelasho. "
boog-xiidmeed,"boog-xiidmeed m.dh (-dyo, m.dh) (daaw.) Boog ku taal qayb ka mid ah xiidmaha (duodenum) waxaana keena asidhka caloosha. Waxaana u badan dadka noocooda dhiigga uu yahay kooxda “O”. Astaamaha: xanuun uurkujirtada marka calooshu marantahay; matagna waa jiri karaa. "
boohaar,"boohaar m.dh (-ro, m.l) 1. Cabbir u gaar ah beeyada oo u dhigma afar kiintaal. 2. Falxad. 3. B. ah: nafley aad u xoog badan. "
boohi,boohi f.g2 ld oohi.
boohin,boohin m.dh ld oohin.
boohise,boohise m.l Codbaahiye. 
boojaal,"boojaal m.dh (-lo, m.l) Digaag aan weli curan. "
boojay,boojay m.l Maroodi yar oo caanannuug ah. 
booji,"booji f.g2 (-iyay, -isay) 1. Qof madax furasho laga rabo xoog ku kaxayn; afduubid. 2. Gabar guur laga rabo xoog ku kaxayn si loo soo mehersado; dhicid. "
boojimo,"boojimo m.dh (-ooyin, m.l) Gabar xoog lagula baxay oo aan yarad laga bixin. "
boojin,boojin m.f.dh eeg booji. 
boojis,"boojis m.l/dh (-syo, m.dh) Qof hubeysan oo si sharci darro u laaayo ugaarta si uu uga ganacsado haraggooda, iliggooda iwm. "
boojisnimo,boojisnimo m.dh Boojis ahaansho. 
boolaboolo,boolaboolo m.dh Shimbir dabaalata oo badanaa midabkeedu cadyahay. ld boolamboolo.
boolamboolo,boolamboolo m.dh ld boolaboolo.
boolaxooftayn,boolaxooftayn m.dh ld boolixooftayn.
boolaxooftee,"boolaxooftee f.g2 (-teeyay,-teysay) ld boolixooftee."
boolaxoofto,boolaxoofto m.dh ld boolixoofto.
boolayn,boolayn m.f.dh eeg boolee. ld boolo.
boolbare,"boolbare m.l (-rayaal, m.l/dh) ld boodhar."
boolbire,"boolbire m.l (-rayaal, m.l/dh) ld boodhar."
booldhannimo,booldhannimo m.dh Booldhe ahaansho. 
booldhe,"booldhe m.l (-dhayaal, m.l/dh) Dhasha biciidka. "
boolee,"boolee f.g2 (-leeyay, -laysay) Ciyaar turub haad u boqrid. "
booli¹,booli¹ m.dh.u Hanti qof lahaa oo qof kale si sharci darro ah u milkiyo. 
booli²,"booli² f.g1 (-lyay, -liday; -lyi) Hanti qof lahaa, qof kale si sharci darro ah ku milkiyid. "
boolibabtaydh,"boolibabtaydh m.l (-dhyo, m.dh) (baay.) Iskudhis orgaanig ah oo ka yimaada amiino asiidho isugu xidhmay dariiqadda xarfinta. B.adu waxay isugu xidhmaan si ay u sameeyaan borotiino. "
boolicun,"boolicun m.l (-nno, m.dh) Qof hanti booli ah ku dhaqma. ld boolicune, booliquute."
boolicune,boolicune m.l ld boolicun.
booliis,booliis m.l ld boliis.
booliquute,"booliquute m.l (-tayaal, m.l/dh) ld boolicun."
boolixooftayn,boolixooftayn m.f.dh eeg boolixooftee. ld boolaxooftayn.
boolixooftee,"boolixooftee f.g2 (-teeyay, -teysay) U b.: faan iyo hanjabaad cid u jeedin. ld boolaxooftee."
boolixoofto,boolixoofto m.dh Faan iyo hanjabaad been ah oo cid loo jeediyo. ld boolaxoofto.
boolo,"boolo m.dh Ciyaarta turubka, hadba marka la dheelayo haadka loo boqro. ld boolayn."
boolyid,boolyid m.f.dh eeg booli². 
boon¹,"boon¹ m.l (boon, m.dh) Nin nolol maalmeedkiisa ka soo saaro ugaarsashada. "
boon²,boon² m.dh 1. Beel ugaarsato ah. 2. Haweeney ka tirsan dadka ugaarsiga ku nool. 
boonbiyeed,boonbiyeed m.l Ninka tababaradka bilowga ah ku jira ee loo carbinayo sida gammuunka loo gano waxna loogu dilo. 
boondhow,"boondhow m.dh (-wyo, m.dh) Furdaaminta la furdaamiyo qof herinta ka mid ah oo dembi galay; carromaris. "
boongeli,"boongeli f.g2 (-iyay, -isay) Cid herin ku darid. "
boongelin,boongelin m.f.dh eeg boongeli. ld boongelis.
boongelis,boongelis m.l ld boongelin.
booqad,booqad m.l ld booqasho.
booqasho,booqasho m.f.dh eeg booqo. ld booqad.
booqo,"booqo f.g3 (-qday, -qatay) Cid, meel, waddan si xaaladdeeda loo ogaado aadid. "
bǫor,"bǫor m.l (-rar, m.l) Maroodi lab, xoog weyn oo raxanta hoggaamiya; arbe. "
boor¹,boor¹ m.l 1. Ciid budo ah oo dabayshu si sahlan u qaaddo; siigo; bus. 2. B. ah: midab dambaska u eg oo ay lo'da iyo dameerahu yeeshaan. 
boor²,boor² m.dh ld boorid.
boor³,"boor³ f.g1 (-ray, -rtay) 1. Sac godlan waayey ama dhashiisa diiday wamme ama fintir iwm sabiisha ka gelin. 2. Is b.: dhabarka godid. "
booraan,"booraan m.dh (-aamo, m.l) God hoos u dheer oo af dhuuban leh. "
booraandawaco,booraandawaco m.dh God dawaco. 
booran,"booran f.mg4 (-rnaa, -rnayd) 1. Wax la booray ahaansho (sac). 2. Wax qalloocan ahaansho (dhabarka). "
boorane,"boorane m.l Duulal la rumaysan yahay in ay dadka ku ridaan cudur lagu daaweeyo ciyaaro, xoolo la qalo iyo udug. "
booranji,booranji m.dh Nooc dharka midabka leh ka mid ah. 
boorayn,boorayn m.f.dh eeg booree. ld boodayn.
booraysad,booraysad m.l ld booraysasho.
booraysasho,"booraysasho m.f.dh eeg boorayso. ld booraysad, booraysi."
booraysi,booraysi m.l ld booraysasho.
boorayso,"boorayso f.mg3 (-stay, -satay) (dii.) Biyo la'aan awgeed xubnaha laga weyso qaato qaar ka mid ah (wejiga iyo gacmaha) ciid nadiif ah marin si cibaado loo guto; tayamum. "
boore,boore m.l B. ah: midab u eg kan dambaska. 
booree,"booree f.g2 (-reeyay, -raysay) Wax boor u eyelid; ld boodee."
boorid,boorid m.f.dh eeg boor³. ld boor².
boorimee,"boorimee f.g/mg2 (-meeyay, -meysay) 1. (f.g) Hogayn. 2. (f.g) wax si aan nidaamsanayn u qabin. 3. (f.mg) Cararid. "
boorimeyn,boorimeyn m.f.dh eeg boorimee. 
boorimo,"boorimo m.dh (-ooyin, m.l) 1. God weyn oo hilibka lagu hogeeyo. 2. B. ah: hilib la hogeeyey. "
boorjiif,"boorjiif m.l (-fyo, m.dh) Qof aan hooy uu seexdo lahayn. ld dibadjiif."
boor-kamakacdo,"boor-kamakacdo m.dh (-ooyin, m.l) Haween isku darsatay caajisnimo iyo baalinnimo. "
boornaan,boornaan m.f.dh eeg booran. ld boornaansho.
boornaansho,boornaansho m.l/dh ld boornaan.
booron,"booron m.l (-nno, m.dh) (kiim.) Curiye bir-u eke ah adag, si fududna u burbura, kana tirsan rurka III ee tusaha kalgalka curiyeyaasha. "
boorri,"boorri f.mg2 (-iyay, -isay) Ku b.: cid hawl qabashadeda ku guubaabin. "
boorrin,boorrin m.f.dh eeg boorri. 
boorso,"boorso m.dh (-ooyin, m.l) Shay caag ama saan ka samaysan oo gacanta lagu qaadan karo oo lacag, dhar, buugag iwm lagu rito. "
boos¹,"boos¹ m.l (-sas, m.l) 1. Qof gaboobay. 2. Nin lug ama gacan la'. 3. Meel qof deeqda. 4. Dhul sharciyeysan oo qof gaar ahaan u leeyahay. 5. ld boosay. Midab cad oo farduhu yeeshaan. "
boos²,boos² m.dh 1. Haweenay lug ama gacan la'. 2. B. ah: haan duug ah oo biyaha sii deysa; abaali. 
boosay,boosay m.l ld boos¹ (5).
boosh,"boosh m.l 1. Harag laga bixiyey ari caato ah. 2. Midab aad u cad oo ay yeeshaan timaha, dhogorta iwm. "
boosh-cadde,"boosh-cadde m.l (-dayaal, m.l/dh) Nooc bariiska ka mid ah oo aad u tarma marka la kariyo. "
booshool,booshool m.l Geri yar oo caano nuug ah. 
booso,"booso m.dh (-ooyn, m.l) Goroyada dheddig, goroyacawl. "
boostaale,"boostaale m.l (-layaal, m.l/dh) Qof waraaqaha boostada ka soo qaada oo dadkii lahaa u geeya. "
boosto,"boosto m.dh 1. Maamul dawladeed oo ku jaadan waraaqaha, dhambaallada iwm oo la isu diro qaybintooda iyo isgaarsiintooda. 2. Xafiisyada iyo rugta hawlahaas lagu qabto. "
bootaale,bootaale m.l ld bootoole.
